team,strength_score,rank
brazil,0.0,1
netherlands,-0.21006906821435758,2
peru,-0.31304236077935116,3
thailand,-0.4272888760643594,4
pakistan,-0.47509501315545954,5
india,-0.4754978174360184,6
china,-0.562568210479205,7
iceland,-0.6053169262388152,8
panama,-0.6205212737863135,9
ethiopia,-0.7572584878084838,10
philippines,-0.7618043823230577,11
guatemala,-0.8090614854612872,12
indonesia,-0.8372559485762929,13
serbia,-0.8647840676650695,14
new_zealand,-0.9036502472164074,15
singapore,-0.9200239447324107,16
uk,-0.9460196793422635,17
saudi_arabia,-0.952384341501626,18
vietnam,-0.9529389870143435,19
south_korea,-0.957559460932506,20
mexico,-0.9977265819277054,21
uae,-1.018599383558599,22
france,-1.0534963231385808,23
morocco,-1.066682479666978,24
canada,-1.0809408560434592,25
switzerland,-1.0853945933106754,26
germany,-1.094123332254008,27
oman,-1.1260652564560105,28
usa,-1.1442089252786685,29
rwanda,-1.3792108735862243,30
kazakhstan,-1.408926846840656,31
mongolia,-1.547435321751576,32
